table,column,value,count
full_response_mix2_1_8k_train,violated_categories,<missing>,3902
full_response_mix2_1_8k_train,violated_categories,Unethical Acts,2654
full_response_mix2_1_8k_train,violated_categories,Non-violent Illegal Acts,2580
full_response_mix2_1_8k_train,violated_categories,Politically Sensitive Topics,262
full_response_mix2_1_8k_train,violated_categories,Personally Identifiable Information,256
full_response_mix2_1_8k_train,violated_categories,Violent,216
full_response_mix2_1_8k_train,violated_categories,Copyright Violation,62
full_response_mix2_1_8k_train,violated_categories,Sexual Content or Sexual Acts,28
full_response_mix2_1_8k_train,violated_categories,Suicide & Self-Harm,1
full_response_mix2_1_8k_val,violated_categories,<missing>,425
full_response_mix2_1_8k_val,violated_categories,Non-violent Illegal Acts,297
full_response_mix2_1_8k_val,violated_categories,Unethical Acts,295
full_response_mix2_1_8k_val,violated_categories,Violent,33
full_response_mix2_1_8k_val,violated_categories,Politically Sensitive Topics,28
full_response_mix2_1_8k_val,violated_categories,Personally Identifiable Information,19
full_response_mix2_1_8k_val,violated_categories,Copyright Violation,5
full_response_mix2_1_8k_val,violated_categories,Sexual Content or Sexual Acts,2
partial_response_mix2_1_53k_train,violated_categories,<missing>,25759
partial_response_mix2_1_53k_train,violated_categories,Non-violent Illegal Acts,18676
partial_response_mix2_1_53k_train,violated_categories,Unethical Acts,18613
partial_response_mix2_1_53k_train,violated_categories,Politically Sensitive Topics,1935
partial_response_mix2_1_53k_train,violated_categories,Personally Identifiable Information,1670
partial_response_mix2_1_53k_train,violated_categories,Violent,1516
partial_response_mix2_1_53k_train,violated_categories,Copyright Violation,403
partial_response_mix2_1_53k_train,violated_categories,Sexual Content or Sexual Acts,193
partial_response_mix2_1_53k_train,violated_categories,Suicide & Self-Harm,3
partial_response_mix2_1_53k_val,violated_categories,<missing>,1868
partial_response_mix2_1_53k_val,violated_categories,Unethical Acts,1407
partial_response_mix2_1_53k_val,violated_categories,Non-violent Illegal Acts,1303
partial_response_mix2_1_53k_val,violated_categories,Politically Sensitive Topics,109
partial_response_mix2_1_53k_val,violated_categories,Violent,84
partial_response_mix2_1_53k_val,violated_categories,Personally Identifiable Information,79
partial_response_mix2_1_53k_val,violated_categories,Copyright Violation,41
partial_response_mix2_1_53k_val,violated_categories,Sexual Content or Sexual Acts,13
test,violated_categories,<missing>,683
test,violated_categories,Non-violent Illegal Acts,401
test,violated_categories,Unethical Acts,214
test,violated_categories,Politically Sensitive Topics,50
test,violated_categories,Violent,23
test,violated_categories,Personally Identifiable Information,20
test,violated_categories,Copyright Violation,4
