table,column,role,measure,count,mean,std,min,p25,median,p75,p95,max
full_response_mix2_1_8k_train,query,prompt,characters,6958,79.657,43.408,2,59.0,70.0,83.0,173.0,498
full_response_mix2_1_8k_train,query,prompt,bytes_utf8,6958,79.747,43.39,2,59.0,70.0,83.0,173.0,498
full_response_mix2_1_8k_train,query,prompt,words,6958,14.206,7.456,1,11.0,12.0,15.0,30.0,83
full_response_mix2_1_8k_train,query,prompt,sentences_approx,6958,1.122,0.392,1,1.0,1.0,1.0,2.0,6
full_response_mix2_1_8k_train,response,response,characters,6958,756.849,286.394,4,585.0,792.0,936.75,1144.3,6337
full_response_mix2_1_8k_train,response,response,bytes_utf8,6958,757.749,286.328,4,587.0,793.0,937.0,1144.3,6339
full_response_mix2_1_8k_train,response,response,words,6958,119.558,42.113,1,95.0,125.0,146.0,177.0,758
full_response_mix2_1_8k_train,response,response,sentences_approx,6958,6.949,3.038,1,5.0,7.0,8.0,11.0,34
full_response_mix2_1_8k_val,query,prompt,characters,772,82.307,52.25,7,58.0,69.0,82.0,184.0,494
full_response_mix2_1_8k_val,query,prompt,bytes_utf8,772,82.372,52.234,7,59.0,69.0,82.0,184.0,494
full_response_mix2_1_8k_val,query,prompt,words,772,14.741,8.951,1,11.0,12.0,15.0,32.0,87
full_response_mix2_1_8k_val,query,prompt,sentences_approx,772,1.145,0.455,1,1.0,1.0,1.0,2.0,6
full_response_mix2_1_8k_val,response,response,characters,772,752.543,270.937,36,593.5,791.5,918.5,1141.9,2114
full_response_mix2_1_8k_val,response,response,bytes_utf8,772,753.487,270.88,36,593.5,791.5,920.0,1141.9,2122
full_response_mix2_1_8k_val,response,response,words,772,119.407,40.595,8,97.0,125.0,144.0,178.0,372
full_response_mix2_1_8k_val,response,response,sentences_approx,772,6.908,2.766,1,5.0,7.0,8.0,11.0,24
partial_response_mix2_1_53k_train,query,prompt,characters,49286,79.356,40.887,2,61.0,71.0,82.0,169.0,498
partial_response_mix2_1_53k_train,query,prompt,bytes_utf8,49286,79.466,40.87,2,61.0,71.0,82.0,169.0,498
partial_response_mix2_1_53k_train,query,prompt,words,49286,14.085,7.026,1,11.0,12.0,15.0,30.0,83
partial_response_mix2_1_53k_train,query,prompt,sentences_approx,49286,1.104,0.362,1,1.0,1.0,1.0,2.0,6
partial_response_mix2_1_53k_train,response,response,characters,49286,387.921,257.273,2,180.0,342.0,548.0,868.0,6337
partial_response_mix2_1_53k_train,response,response,bytes_utf8,49286,388.31,257.382,2,181.0,343.0,548.0,868.75,6339
partial_response_mix2_1_53k_train,response,response,words,49286,61.148,39.636,1,29.0,55.0,86.0,135.0,758
partial_response_mix2_1_53k_train,response,response,sentences_approx,49286,3.812,2.451,1,2.0,3.0,5.0,8.0,31
partial_response_mix2_1_53k_val,query,prompt,characters,3595,90.633,58.907,7,62.0,74.0,92.0,224.0,494
partial_response_mix2_1_53k_val,query,prompt,bytes_utf8,3595,90.715,58.881,7,62.0,74.0,92.5,224.0,494
partial_response_mix2_1_53k_val,query,prompt,words,3595,16.089,10.035,1,11.0,13.0,17.0,36.0,87
partial_response_mix2_1_53k_val,query,prompt,sentences_approx,3595,1.186,0.51,1,1.0,1.0,1.0,2.0,6
partial_response_mix2_1_53k_val,response,response,characters,3595,378.948,250.046,2,180.0,335.0,534.0,846.3,2068
partial_response_mix2_1_53k_val,response,response,bytes_utf8,3595,379.534,250.254,2,181.0,336.0,534.0,847.3,2076
partial_response_mix2_1_53k_val,response,response,words,3595,60.643,38.984,1,30.0,54.0,85.0,132.0,363
partial_response_mix2_1_53k_val,response,response,sentences_approx,3595,3.742,2.38,1,2.0,3.0,5.0,8.0,24
test,query,prompt,characters,1200,69.895,12.313,36,61.75,69.0,78.0,93.0,113
test,query,prompt,bytes_utf8,1200,70.102,12.339,36,62.0,69.0,78.0,93.0,113
test,query,prompt,words,1200,12.461,2.305,7,11.0,12.0,14.0,17.0,20
test,query,prompt,sentences_approx,1200,1.0,0.0,1,1.0,1.0,1.0,1.0,1
test,response,response,characters,1200,874.597,233.783,217,770.0,892.0,1014.0,1212.1,1849
test,response,response,bytes_utf8,1200,874.89,233.95,217,770.0,892.5,1014.25,1212.1,1849
test,response,response,words,1200,129.6,35.14,33,113.0,131.0,149.0,184.0,286
test,response,response,sentences_approx,1200,7.072,2.44,2,6.0,7.0,8.0,11.0,24
