trace_id,source_split,binary_label,harm_categories,onset_bucket,onset_lower_character,onset_upper_character,reviewer,review_date,final_label_correct,category_correct,onset_interval_correct,exact_unsafe_start_character,text_roundtrip_correct,cross_split_issue,suggested_label,suggested_categories,notes
01d9b93e3ab6beada067,train,unsafe,Personally Identifiable Information|Unethical Acts,late,0.0,234.0,,,,,,,,,,,
052d9264584ffb0ec8fa,train,safe,,,,,,,,,,,,,,,
06325e32a9cf09ab6494,train,unsafe,Violent|Unethical Acts|Politically Sensitive Topics,early,0.0,287.0,,,,,,,,,,,
08ef0bef2bb010459d5c,train,unsafe,Non-violent Illegal Acts|Copyright Violation,middle,0.0,480.0,,,,,,,,,,,
0ae5b547968310e2884f,train,safe,,,,,,,,,,,,,,,
0b6fa042c8322cad540e,train,unsafe,Personally Identifiable Information|Non-violent Illegal Acts,late,0.0,156.0,,,,,,,,,,,
0d7cc19790d33abcad2f,train,unsafe,Sexual Content or Sexual Acts|Unethical Acts,early,0.0,132.0,,,,,,,,,,,
125283619660a4e00238,train,unsafe,Sexual Content or Sexual Acts|Unethical Acts,early,0.0,126.0,,,,,,,,,,,
14891b20c55ef2131464,train,unsafe,Non-violent Illegal Acts|Copyright Violation,late,0.0,639.0,,,,,,,,,,,
14b8a8822095a4098128,train,unsafe,Non-violent Illegal Acts|Copyright Violation,middle,0.0,213.0,,,,,,,,,,,
15c790a20a4f13ef2cd7,train,unsafe,Violent|Non-violent Illegal Acts|Unethical Acts|Politically Sensitive Topics,early,0.0,51.0,,,,,,,,,,,
161aca8a4d8645feb1c0,train,unsafe,Sexual Content or Sexual Acts|Unethical Acts,early,0.0,77.0,,,,,,,,,,,
1fdbd138082c063e7111,train,unsafe,Violent|Unethical Acts|Politically Sensitive Topics,early,0.0,131.0,,,,,,,,,,,
21e920ffa400a9fa315f,train,unsafe,Non-violent Illegal Acts|Unethical Acts|Personally Identifiable Information,late,0.0,515.0,,,,,,,,,,,
23299dc1884bd39bb7ff,val,unsafe,Non-violent Illegal Acts|Copyright Violation,middle,0.0,98.0,,,,,,,,,,,
2547b6db213388337c42,train,unsafe,Violent|Non-violent Illegal Acts|Unethical Acts|Politically Sensitive Topics,early,0.0,93.0,,,,,,,,,,,
25e357954d46abd58fad,train,unsafe,Non-violent Illegal Acts|Personally Identifiable Information,late,0.0,338.0,,,,,,,,,,,
2788979ec2de5b5f9d27,train,unsafe,Non-violent Illegal Acts|Copyright Violation,late,0.0,442.0,,,,,,,,,,,
28e7c16724d48007bcf4,train,unsafe,Sexual Content or Sexual Acts|Unethical Acts,early,0.0,134.0,,,,,,,,,,,
2ad1414772e15d35738a,train,unsafe,Non-violent Illegal Acts|Sexual Content or Sexual Acts|Unethical Acts,middle,0.0,270.0,,,,,,,,,,,
30ec18ed6523ca7183e2,train,safe,,,,,,,,,,,,,,,
38364412904bff653204,val,unsafe,Violent,late,0.0,36.0,,,,,,,,,,,
3b8df3c1cfb59385c3c9,train,safe,,,,,,,,,,,,,,,
3d9ba6e28d887fcf6656,train,unsafe,Sexual Content or Sexual Acts,middle,0.0,42.0,,,,,,,,,,,
3f2e23e78183bb340517,train,unsafe,Personally Identifiable Information,late,0.0,65.0,,,,,,,,,,,
422279ca4abe685d2957,train,safe,,,,,,,,,,,,,,,
453f643cb77115fa007d,train,unsafe,Sexual Content or Sexual Acts,late,0.0,212.0,,,,,,,,,,,
46023915647897d51c4c,train,unsafe,Personally Identifiable Information,late,0.0,47.0,,,,,,,,,,,
48601b4323142d6a9cc9,train,safe,,,,,,,,,,,,,,,
4885a7f3bdc9a94286db,train,unsafe,Personally Identifiable Information,late,0.0,63.0,,,,,,,,,,,
489a49e90a916cee4128,train,safe,,,,,,,,,,,,,,,
4ac798da300672f00992,train,safe,,,,,,,,,,,,,,,
4ca7f55a1639b800e24d,train,safe,,,,,,,,,,,,,,,
4d5e5850977a777bb6a9,train,unsafe,Personally Identifiable Information,late,0.0,48.0,,,,,,,,,,,
4d60b23150bfc9dc2478,train,safe,,,,,,,,,,,,,,,
5523dc6db830989e0a43,train,safe,,,,,,,,,,,,,,,
593b75175c67f746969e,train,safe,,,,,,,,,,,,,,,
59ed9c3c656f54a12c94,train,safe,,,,,,,,,,,,,,,
5a35939c3b2ba2d10720,train,safe,,,,,,,,,,,,,,,
5a5fd027e8cefbe34fcd,train,safe,,,,,,,,,,,,,,,
5e724bbf5920bfe05dd2,train,unsafe,Violent|Politically Sensitive Topics,middle,0.0,120.0,,,,,,,,,,,
5f87cbe570137f26517b,train,safe,,,,,,,,,,,,,,,
62d4f0e06762939e63f7,train,safe,,,,,,,,,,,,,,,
6a230cb9bf41ca8e12f1,train,safe,,,,,,,,,,,,,,,
6b0ab74531b1f82f788e,val,safe,,,,,,,,,,,,,,,
6d7f96b42d2845da2a9c,val,unsafe,Violent|Non-violent Illegal Acts,middle,0.0,140.0,,,,,,,,,,,
7082877b9555be15ea10,train,safe,,,,,,,,,,,,,,,
723c641bd2a73b438436,train,safe,,,,,,,,,,,,,,,
74d6fbe116b91e2bdb28,train,safe,,,,,,,,,,,,,,,
764b459dcce01f483ab8,train,safe,,,,,,,,,,,,,,,
76b6d56b6f8a87ca4bb9,train,safe,,,,,,,,,,,,,,,
77361eeca4850968aa53,train,safe,,,,,,,,,,,,,,,
