table,column,dtype,missing_count,missing_percent,unique_count
full_response_mix2_1_8k_train,query,str,0,0.0,4785
full_response_mix2_1_8k_train,response,str,0,0.0,6932
full_response_mix2_1_8k_train,response_mode,str,0,0.0,5
full_response_mix2_1_8k_train,risk_level,str,0,0.0,3
full_response_mix2_1_8k_train,violated_categories,object,0,0.0,50
full_response_mix2_1_8k_train,answer,str,0,0.0,3
full_response_mix2_1_8k_val,query,str,0,0.0,642
full_response_mix2_1_8k_val,response,str,0,0.0,772
full_response_mix2_1_8k_val,response_mode,str,0,0.0,5
full_response_mix2_1_8k_val,risk_level,str,0,0.0,3
full_response_mix2_1_8k_val,violated_categories,object,0,0.0,26
full_response_mix2_1_8k_val,answer,str,0,0.0,3
partial_response_mix2_1_53k_train,query,str,0,0.0,4666
partial_response_mix2_1_53k_train,response,str,0,0.0,46972
partial_response_mix2_1_53k_train,response_mode,str,0,0.0,5
partial_response_mix2_1_53k_train,risk_level,str,0,0.0,3
partial_response_mix2_1_53k_train,violated_categories,object,0,0.0,68
partial_response_mix2_1_53k_train,answer,str,0,0.0,3
partial_response_mix2_1_53k_val,query,str,0,0.0,455
partial_response_mix2_1_53k_val,response,str,0,0.0,3559
partial_response_mix2_1_53k_val,response_mode,str,0,0.0,5
partial_response_mix2_1_53k_val,risk_level,str,0,0.0,3
partial_response_mix2_1_53k_val,violated_categories,object,0,0.0,34
partial_response_mix2_1_53k_val,answer,str,0,0.0,3
test,query,str,0,0.0,942
test,response,str,0,0.0,1199
test,label,str,0,0.0,2
test,violated_categories,object,0,0.0,15
