table,rows,columns,column,dtype,missing_count,missing_percent,unique_count,nested_types,possible_roles
full_response_mix2_1_8k_train,6958,6,query,str,0,0.0,4785,str,prompt
full_response_mix2_1_8k_train,6958,6,response,str,0,0.0,6932,str,response
full_response_mix2_1_8k_train,6958,6,response_mode,str,0,0.0,5,str,
full_response_mix2_1_8k_train,6958,6,risk_level,str,0,0.0,3,str,label
full_response_mix2_1_8k_train,6958,6,violated_categories,object,0,0.0,50,list,category
full_response_mix2_1_8k_train,6958,6,answer,str,0,0.0,3,str,label
full_response_mix2_1_8k_val,772,6,query,str,0,0.0,642,str,prompt
full_response_mix2_1_8k_val,772,6,response,str,0,0.0,772,str,response
full_response_mix2_1_8k_val,772,6,response_mode,str,0,0.0,5,str,
full_response_mix2_1_8k_val,772,6,risk_level,str,0,0.0,3,str,label
full_response_mix2_1_8k_val,772,6,violated_categories,object,0,0.0,26,list,category
full_response_mix2_1_8k_val,772,6,answer,str,0,0.0,3,str,label
partial_response_mix2_1_53k_train,49286,6,query,str,0,0.0,4666,str,prompt
partial_response_mix2_1_53k_train,49286,6,response,str,0,0.0,46972,str,response
partial_response_mix2_1_53k_train,49286,6,response_mode,str,0,0.0,5,str,
partial_response_mix2_1_53k_train,49286,6,risk_level,str,0,0.0,3,str,label
partial_response_mix2_1_53k_train,49286,6,violated_categories,object,0,0.0,68,list,category
partial_response_mix2_1_53k_train,49286,6,answer,str,0,0.0,3,str,label
partial_response_mix2_1_53k_val,3595,6,query,str,0,0.0,455,str,prompt
partial_response_mix2_1_53k_val,3595,6,response,str,0,0.0,3559,str,response
partial_response_mix2_1_53k_val,3595,6,response_mode,str,0,0.0,5,str,
partial_response_mix2_1_53k_val,3595,6,risk_level,str,0,0.0,3,str,label
partial_response_mix2_1_53k_val,3595,6,violated_categories,object,0,0.0,34,list,category
partial_response_mix2_1_53k_val,3595,6,answer,str,0,0.0,3,str,label
test,1200,4,query,str,0,0.0,942,str,prompt
test,1200,4,response,str,0,0.0,1199,str,response
test,1200,4,label,str,0,0.0,2,str,label
test,1200,4,violated_categories,object,0,0.0,15,list,category
