left_split,right_split,comparison,value_hash,left_trace_ids,right_trace_ids,selected_trace_ids
train,val,prompt_hash,5a7447b1ebbfe051430c36d919a211d06262d14590c6ef683ad1280c5f07f35f,48fcf37571a13f2046ca|4ab2c69fed8fe61f27a3|90606424acbab9a4504e|cbc7b33e459d06fd7b49,e8c4ba8338427edbe9ea,
train,val,prompt_hash,860ab448acd2074e971401389749db10327af334d891a801adc684ffa7b376b4,0abe3c0b19935e3c84d4|0e011a9b49952d73dac0|4f4bba7859b9a5b7ea83|9dd43c9054be46d99b81|cf560ae5472848b6924c|db61509d3ce0fbb00eb3|dd6cd4f06c10e0950f7b,ff5de963621a43dd2912,ff5de963621a43dd2912
train,val,prompt_hash,b472d98322a6f8bf314558fac25b255fc568420752ea4279ce576ae85809c38e,ec7312ed3f2acbee466c|f75493aede847962bef3,685659270cb4b9b10e05|ec7312ed3f2acbee466c,ec7312ed3f2acbee466c
train,val,prompt_hash,baac723e64a989736902b2c5376daad9eae6e550da4ede07ba8a5202862ba4ce,58cdd10a12954219ea49|6fd2fd17dbaf1ee7a439|9ba2d08485c328664b8d|b521a11cbfb6e9c73960,09e3187e691d8def8bc8|58c04c551105a2aae209|da0812535ee2b6a0d22a|f8fe52749c7f490527ce,da0812535ee2b6a0d22a
train,val,prompt_hash,c70a846ce6fd0311610ba556ff669a2cce1a788fb1e24e605031006cfd961a78,13531bf570ad2e860ce2,c00a8564cd6199339f01,c00a8564cd6199339f01
train,val,response_hash,dc8ff4ae611b2fa75ddef719ac2b0c732d3029987db578ac8c0b92d51cff826f,ec7312ed3f2acbee466c,ec7312ed3f2acbee466c,ec7312ed3f2acbee466c
train,val,pair_hash,ec7312ed3f2acbee466c98039d35347d3a5e6075b66f516c6fb660808c8ee014,ec7312ed3f2acbee466c,ec7312ed3f2acbee466c,ec7312ed3f2acbee466c
train,val,canonical_response_hash,dc8ff4ae611b2fa75ddef719ac2b0c732d3029987db578ac8c0b92d51cff826f,ec7312ed3f2acbee466c,ec7312ed3f2acbee466c,ec7312ed3f2acbee466c
train,test,prompt_hash,01fb86764de0a86c435a88e491f469774f8c749824b16c43746b6150397d719e,05e8b8f14d9d03ddf7c3,febc4a6e14d07e0540fa,
train,test,prompt_hash,031fef13b517799962cb0fe9e6f4bdf78084bb9106a2ce21b6a7d8f91f0c7f8f,0e2d163bf8e7c8b7e958|32794b623bbe07b80943,0113c7921a74d73c92dc|037d74d22ec9ee5c129b|16f898c74d80ad978ae4,
